uid,GeneRawName,SuperClass,Class,Family,SubFamily,EnsemblID
1.1.1.1.1,c-Jun,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,Jun,ENSMUSG00000052684
1.1.1.1.2,JunB,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,Jun,"ENSMUSG00000052837,ENSMUSG00000052926"
1.1.1.1.3,JunD,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,Jun,ENSMUSG00000071076
1.1.1.2.1,NFE2,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,ENSMUSG00000058794
1.1.1.2.2,NFE2L1,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,ENSMUSG00000038615
1.1.1.2.3,NFE2L2,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,ENSMUSG00000015839
1.1.1.2.4,NFE2L3,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,ENSMUSG00000029832
1.1.1.2.5,BACH1,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,"ENSMUSG00000025612,ENSMUSG00000034329"
1.1.1.2.6,BACH2,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,NFE2,ENSMUSG00000040270
1.1.1.3.1,ATF-2,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,ATF2,"ENSMUSG00000027104,ENSMUSG00000022144"
1.1.1.3.2,ATF-7,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,ATF2,"ENSMUSG00000038539,ENSMUSG00000099083"
1.1.1.3.3,CREB-5,Basic domains,Basic leucine zipper factors (bZIP),Jun-related,ATF2,ENSMUSG00000053007
1.1.2.1.1,c-Fos,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,Fos,ENSMUSG00000021250
1.1.2.1.2,FosB,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,Fos,ENSMUSG00000003545
1.1.2.1.3,Fra-1,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,Fos,ENSMUSG00000024912
1.1.2.1.4,Fra-2,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,Fos,ENSMUSG00000029135
1.1.2.2.1,ATF-3,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,ATF3-like,ENSMUSG00000026628
1.1.2.2.2,JDP-2,Basic domains,Basic leucine zipper factors (bZIP),Fos-related,ATF3-like,ENSMUSG00000034271
1.1.3.1.1,MAF (c-MAF),Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Large MAF,"ENSMUSG00000055435,ENSMUSG00000003948"
1.1.3.1.2,MAFA,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Large MAF,"ENSMUSG00000030114,ENSMUSG00000047591"
1.1.3.1.3,MAFB,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Large MAF,ENSMUSG00000074622
1.1.3.1.4,NRL,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Large MAF,"ENSMUSG00000026822,ENSMUSG00000040632"
1.1.3.2.1,MAFF,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Small MAF,ENSMUSG00000042622
1.1.3.2.2,MAFG,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Small MAF,ENSMUSG00000051510
1.1.3.2.3,MAFK,Basic domains,Basic leucine zipper factors (bZIP),Maf-related,Small MAF,ENSMUSG00000018143
1.1.4.0.1,BATF,Basic domains,Basic leucine zipper factors (bZIP),B-ATF-related,,ENSMUSG00000034266
1.1.4.0.2,BATF2,Basic domains,Basic leucine zipper factors (bZIP),B-ATF-related,,ENSMUSG00000039699
1.1.4.0.3,BATF3,Basic domains,Basic leucine zipper factors (bZIP),B-ATF-related,,ENSMUSG00000026630
1.1.5.0.1,XBP-1,Basic domains,Basic leucine zipper factors (bZIP),XBP1-related,,ENSMUSG00000020484
1.1.6.0.1,ATF-4,Basic domains,Basic leucine zipper factors (bZIP),ATF4-related,,ENSMUSG00000042406
1.1.6.0.2,ATF-5,Basic domains,Basic leucine zipper factors (bZIP),ATF4-related,,ENSMUSG00000038539
1.1.7.1.1,CREB1,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB-like,ENSMUSG00000025958
1.1.7.1.2,ATF1,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB-like,"ENSMUSG00000023027,ENSMUSG00000080968,ENSMUSG00000022144"
1.1.7.1.3,CREM,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB-like,ENSMUSG00000063889
1.1.7.2.1,CREB3,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB3-like,"ENSMUSG00000028466,ENSMUSG00000027938"
1.1.7.2.2,CREB3L1,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB3-like,ENSMUSG00000027230
1.1.7.2.3,CREB3L2,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB3-like,ENSMUSG00000038648
1.1.7.2.4,CREB3L3,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB3-like,ENSMUSG00000035041
1.1.7.2.5,CREB3L4,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREB3-like,"ENSMUSG00000028466,ENSMUSG00000027938"
1.1.7.3.1,ATF6,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,ATF6,ENSMUSG00000026663
1.1.7.3.2,ATF6B,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,ATF6,"ENSMUSG00000026663,ENSMUSG00000015461"
1.1.7.4.1,CREBZF,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREBZF-like,ENSMUSG00000051451
1.1.7.5.1,CREBL2,Basic domains,Basic leucine zipper factors (bZIP),CREB-related,CREBL2-like,ENSMUSG00000032652
1.1.8.1.1,CEBPA,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,ENSMUSG00000034957
1.1.8.1.2,CEBPB,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,ENSMUSG00000056501
1.1.8.1.3,CEBPG,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,ENSMUSG00000056216
1.1.8.1.4,CEBPD,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,ENSMUSG00000071637
1.1.8.1.5,CEBPE,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,ENSMUSG00000052435
1.1.8.1.6,DDIT3,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,CEBP,"ENSMUSG00000116429,ENSMUSG00000025408"
1.1.8.2.1,DBP,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,PAR,"ENSMUSG00000059824,ENSMUSG00000035540,ENSMUSG00000024507,ENSMUSG00000040463"
1.1.8.2.2,HLF,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,PAR,"ENSMUSG00000024140,ENSMUSG00000003949"
1.1.8.2.3,NFIL3,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,PAR,ENSMUSG00000056749
1.1.8.2.4,TEF,Basic domains,Basic leucine zipper factors (bZIP),CEBP-related,PAR,ENSMUSG00000022389
1.2.1.0.1,TCF3 (E2A),Basic domains,Basic helix-loop-helix factors (bHLH),E2A,E2A-like,"ENSMUSG00000020167,ENSMUSG00000055799"
1.2.1.0.2,TCF4 / SEF2,Basic domains,Basic helix-loop-helix factors (bHLH),E2A,E2A-like,"ENSMUSG00000017950,ENSMUSG00000053477,ENSMUSG00000024985"
1.2.1.0.3,TCF12/HTF4,Basic domains,Basic helix-loop-helix factors (bHLH),E2A,E2A-like,ENSMUSG00000032228
1.2.2.1.1,MyoD,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,Myogenic TFs,ENSMUSG00000009471
1.2.2.1.2,MYOG,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,Myogenic TFs,ENSMUSG00000026459
1.2.2.1.3,MYF5,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,Myogenic TFs,ENSMUSG00000000435
